Mawazin,উত্তরবঙ্গ বাটিক হাউজ,One Ummah BD,শাহী ভ্যারাইটি স্টোর,HR Knitting,ফ্রান্স এক্সপোর্ট wak and sa,Adventure Madness,Food Pallet,Ahbab,আহমেদ মোটরস,গাড়ীয়াল,বানু এন্টারপ্রাইস,Food Network Agro,পজিটিভ বাজার,কাচ্চি খানা'স,Tasneem Knitting,IVAMCO,আমার ফুডস,মেড ইজি
"3 lak, apnara security dite parle better hoto e jonno service charge insaf bittik korte paren... jajakallo khayran..",ইনশা আল্লাহ্ এই সপ্তাহের মধ্যে বিনিয়োগ করবো।ভালো লেগেছে উনাদেরকে।,One ummah bd খুব ক্যাশ ক্রাইসিসে আছে। অতিরিক্ত দ্রুত বড় করে ব্যাবসা নিয়ে ভালো বিপাকে পড়েছে।,"ALHAMDULILLAH, আমি শাহী ভ্যারাইটি স্টোরে বিনিয়োগ করেছি, এবং আমার অভিজ্ঞতা এখন পর্যন্ত খুবই ইতিবাচক। প্রতিষ্ঠানটি নিয়মিত ও স্বচ্ছভাবে কার্যক্রম পরিচালনা করে, এবং আমি সন্তোষজনক মুনাফা পেয়েছি। প্রতিষ্ঠাতা মাহির (সাইফ) দায়িত্বশীল এবং বিনিয়োগকারীদের সঙ্গে আন্তরিকভাবে যোগাযোগ রাখেন, যা আমার আস্থা আরও বাড়িয়েছে।  আমার ব্যক্তিগত অভিজ্ঞতার ভিত্তিতে বলতে পারি, শাহী ভ্যারাইটি স্টোর একটি সম্ভাবনাময় প্রতিষ্ঠান। এই ইতিবাচক অভিজ্ঞতার কারণে ভবিষ্যতেও আমি এখানে আরও বিনিয়োগ করতে আগ্রহী। প্রতিষ্ঠানটির উত্তরোত্তর সাফল্য ও সমৃদ্ধি কামনা করছি।",অনেক ভালো ,এখনও ভালো ঠিক সময় পেমেন্ট দিয়ে দে ।,অস্থির সুন্দর রিসোর্ট,ভালো। ,ভালো,মেসেজ রিপ্লাই দেন না ঠিক মত।,ভালো,ভালো,A complete gentleman from words to action. His profit sharing is attractive and in time always. Love to invest more in upcoming days inshAllah.,আমি বিনিয়োগ করেছি। উনার ব্যবহার কথাবার্তা অমায়িক পজিটিভ মাইন্ডের। আশা করি ইনশাল্লাহ তার থেকে ভালো কিছু পাব।  যতটুকু বুঝতে পারতেছি উনি আস্তে ধীরে আগাচ্ছে তাড়াহুড়া কম করে। প্রোডাক্ট খুব ভালো ,Vlo,অত্যন্ত দক্ষ ও সম্ভাবনাময় ব্যবসা,"আলহামদুলিল্লাহ অনেক ভালো,আমি বিনিয়োগ করেছি। আমার পছন্দের তালিকায় প্রথমে আছে IVAMCO ",Best❤️❤️❤️authentic.  কথায় কাজে মিল❤️❤️,মাত্র ১ মাস আগে বিনিয়োগ করেছি। মতামত জানানোর সময় আসেনি এখনো
"তাদের প্রতিষ্ঠান এ আমার ৩ লাখ টাকার ইনভেস্টমেন্ট করা ১ বছর হইছে, যেটার মেয়াদ পূর্ন হলেও প্রজেক্ট ক্লোজ করতে পারে নি এখনো, যদিও প্রফিট মার্জিন অনেক কমিয়ে তারা এখন ওই প্রজেক্ট রানিং রেখেছে।(তাদের ইন্টারন্যাল বিভিন্ন ইস্যুর কারণে)। আর একটা সর্ট প্রজেক্ট ৩/৪ মাস মেয়াদি ছিল সেখানেও ৩ লাখ টাকা ইনভেস্টমেন্ট করেছিলাম তবে প্রজেক্ট এর টাইম লাইন শেষ হলেও মূল টাকা ফেরত পেতে বেশ বেগ পেতে হয়েছে।  উল্লেখ্য তাদের ওইখানে আমার ইনভেস্টমেন্ট করা আসলে তাদের ই আরেকটা ইনভেস্টমেন্ট WhatsApp Group থেকে আপনাদের মাদ্ধমে নয়। আর তারা দাবি করে ইসলামি শরিয়া মতে এবং শরিয়া কন্সাল্টেন্সি আছে নাকি যেটা আসলেই বিশ্বাস যোগ্য মনে হয় নি।   ","Good, niomit update den r committed time er modhe profit o share koren ","Alhamdulillah valo, tobe struggle korsan tadar business niye",,অতিথি পরায়ণ ও আন্তরিক ,ভালো। সম্ভাবনাময়,Profit is not up to the mark.,নীরবে কাজ করে যান,,"The owner is doing good business so far, responsible, and seems to show secured investment as the signatory is a govt. employee. I would like to observe for this year and provide further comment.",বিনিয়োগ করেছি বেশি দিন হয়নি।এখনো পর্যন্ত সবকিছুই ভালো পেয়েছি আলহামদুলিল্লাহ। ,আলহামদুলিল্লাহ ভালোই।,যথেষ্ট আন্তরিক এবং ভদ্রলোক ,"নিয়মিত প্রফিট দিচ্ছেন মোটামুটি হিসেব মতো, তবে management responsive না। ভালো টিম ম্যানেজমেন্ট দরকার। ",প্রচণ্ড ক্যাশ ক্রাইসিসে আছে। জঘন্যতম প্রতিষ্ঠান। বিনিয়োগ এর জন্য খুব খুব খারাপ জায়গা।,"আলহামদুলিল্লাহ অনেক ভালো মানুষ। প্রকৃত ব্যবসায়িক জ্ঞানের অধিকারী। তাদের কাজের মান, পেশাদারিত্ব এবং ভবিষ্যৎ পরিকল্পনা সত্যিই প্রশংসনীয়। আশা করি সততা ও দক্ষতার মাধ্যমে প্রতিষ্ঠানটি আরও অনেক দূর এগিয়ে যাবে। সাফল্য অব্যাহত থাকুক। বর্তমানে শেখার জন্য তার সাথে আমি চায়না অবস্থান করছি।",আমার পছন্দের লিস্টে প্রথম,"A man of words. Sincere, candid and transparent. InshAllah in future I will try to invest more.",খুব প্রফেশনাল ভালো একটি কোম্পানি
খুব ভালো,"উনাদের ব্যবহার বেশ ভালো। আমার অনেক প্রশ্ন ছিল সময় নিয়ে উত্তর দিয়েছেন। মাস শেষে সময়মত হিসাব ও টাকা বুঝিয়ে দেন। উনাদের ব্যবসা হলো টিপিকাল ব্যবসা, উনাদের থেকে খুব একটা প্রফেশনালিসম আশা করি না। তবে যতটুকু আছে যথেষ্ট। উনাদের ব্যবসার ভবিষ্যতের ব্যপারে আমি আশাবাদি।",উনাদের সব কিছুই আমার কাছে চমৎকার লেগেছে। অত্যন্ত প্রফেশনালি তারা সব হ্যান্ডেল করেন। হিসাব নিকাশ থেকে শুরু করে উনারা সব ব্যপারেই সবকিছু বিনিয়োগকারীদের কাছে শেয়ার করেন। উনাদের ৬ মাস পর পর বিনিয়োগকারীদের নিয়ে যে মিটিং হয় সেটা আমার কাছে চমৎকার লেগেছে।,সবচেয়ে ভালো লেগেছে শাহী স্টোরে বিনিয়োগ করে। কারণ বিনিয়োগকারীদের সাথে যোগাযোগ ভালো রাখেন। গ্যাপ নাই।,,,,বিনিয়োগ করতে চেয়েছিলাম কিন্তু উনাদের নিকট কিছু তথ্য চেয়েছি উনারা দেয়নি।,,এই প্রতিষ্ঠানের সবচেয়ে যেটা ভাল লেগেছে সেটা হলো যেদিন থেকে টাকা বিনিয়োগ করেছি সেদিন থেকেই লভ্যাংশ হিসাব করেছে। লভ্যাংশ নিয়মিত দিচ্ছে এবং লভ্যাংশের হার ও বেশ আকর্ষণীয়। আলমগীর কবির ভাই বেশ পরিশ্রমী এবং হিসাব নিকাশ ও পরিষ্কার। ,এই মানুষ টা ব্যক্তি হিসাবে যতেষ্ট ভালো। ওনার একটা গুণ খুবই ভালো নিজেই ইনভেস্টার খোজ খবর নেন।যতেষ্টা আন্তরিক। ধন্যবাদ মেরাজ ভাই ❤️❤️❤️,Better ,"আলহামদুলিল্লাহ, তিনি একজন অসাধারণ মানুষ। তবে যোগাযোগের ক্ষেত্রে কিছুটা ধীরগতি লক্ষ্য করা যায়। তিনি বিনয়ী ও সৎ। এভাবে সততা, বিনয় এবং সুন্দর নেতৃত্বের মাধ্যমে এগিয়ে গেলে ইনশাআল্লাহ অনেক দূর যেতে পারবেন।",হিসেব ঠিকঠাক দেয় না। মুনাফা দিতে দেরী করে। কথা ও কাজের মিল কম। খুবই অসন্তুষ্ট। মনে হচ্ছে বিনিয়োগ করে ভুল করেছি।," নেগেটিভ রিভিউ দেখেছি,  তাই বিনিয়োগ করার ইচ্ছাও নেই।",Satiesfied Alhamdulillah. Receiving good amount of profit after every two months. ,"Alhamdulillah valo manus mone hoyese, akhon porjonto profit sharing e valo time maintain korasan.",Vlo,Professional and well behaved. 
নতুন এই মাসে বিনিয়োগ করছি।,"ভালো শুনেছি,  তবে বিনিয়োগ করিনি।",মনে হচ্ছে ভালো বাট বিনিয়োগের পুরো মেয়াদ শেষ বলতে পারবো লেনদেন কেমন।,ভালো মানুষ ,,,,বিনিয়োগ কারী দের গুরত্ব কম দেই। ,,,গাড়িয়াল একটি উঠতি প্রতিষ্ঠান। সঠিক পরিকল্পনা করে এগোলে ভাল করবে মনে হয়। তবে আরো ইনভেস্টমেন্ট এবং আধুনিকায়ন প্রয়োজন। জুন মাসের লাভ পেয়েছি। লভ্যাংশ ভাল দিয়েছে।,"আলহামদুলিল্লাহ, এখন পর্যন্ত সবকিছু ঠিকঠাক আছে। ব্যক্তিগতভাবে অনেক সজ্জন ব্যক্তিত্ব। ",উনার ব্যবহার অনেক ভাল। বিনিয়োগ করব।  করার পর বুজা যাবে কি অবস্থা। ,উনার কমিটম্যান্ট রক্ষার ব্যাপারে উদাসীনতা পেয়েছি আমি ইনভেস্ট এখানো করিনি করতে চাই কিন্তু কিছুটা ভিতি কাজ করছে।,,,গুড,যে কোন ব্যাপারে কুইক রেসপন্স পেয়েছি।,"জানিনা, বিনিয়োগ করিনি "
"আমি Mawazin-এ বিনিয়োগ করেছি। তাদের রেসপন্স ভালো এবং পলিসি সন্তোষজনক। তবে ডিড কমপ্লিটের সময় তারা বলেছিল কাপ্তাই লেক প্রকল্প ১৫ জুলাই থেকে শুরু হবে, কিন্তু আজ ২৭ জুলাই হয়ে গেলেও প্রকল্পটি শুরু হয়নি। আমি ৮ জুলাই বিনিয়োগ করেছি, কিন্তু প্রকল্প শুরুতে বিলম্ব হচ্ছে।","আলহামদুলিল্লাহ ভালো, ডাবল বিনিয়োগ করছি।",বিনিয়োগ করেছি।মোটামুটি ভাল বলা যায়।,"মাশাআল্লাহ্, ভাল প্রতিষ্ঠান। প্রফিট ভাল আলহামদুলিল্লাহ্",,,,গুড,,,"তিনি ব্যবসায়ের মালিকানাও শেয়ার করছেন, এটা ভালো দিক। ১০% ডিস্কাউন্ট দিচ্ছেন শুনে আগ্রহী হলাম। তবে তার ব্যবসায়ের Valuation তিনি নিজেই করেছেন এমনটা জানালেন উদ্যোক্তা। এ ধরনের ভ্যালুয়েশন কতটা গ্রহণযোগ্য আমার জানা নেই। আর গ্রুপে জানানো হয়েছিল, উদ্যোক্তা সার্বক্ষণিক সিসি ক্যামেরা এক্সেস দিবেন বিনিয়োগকারীদেরকে। তাঁকে এ ব্যাপারে জিজ্ঞেস করাতে তিনি বললেন, এখনো সিসিটিভি লাগানোই হয় নাই। তো দুই জায়গায় দুই ধরনের কথা পাওয়ায় এ ক্ষেত্রে আর বিনিয়োগ করা হয়ে ওঠে নাই।",,গুড,আন্তরিক কিন্তু খোবই ধীরগতির ,,, ইবামকো  এখন পর্যন্ত সবদিক থেকে ভালো। টাইম অনুযায়ী লভ্যাংশ প্রদান করছেন।,যথেষ্ট ভালো। যোগাযোগ ও কাজে স্মার্ট। ,আরেফিন সাহেব একজন দক্ষ তরুন উদ্যোক্তা। তিনি এবং তার পার্টনার বেশ প্রফেশনালী ব‍্যবসা পরিচালনা এবং প্রসারের লক্ষ্যে কাজ করে যাচ্ছেন। 
বেশ ভালো প্রফেশনাল এবং দ্রুত কার্যক্রম সম্পন্ন করতে পারে এখন পর্যন্ত। ,উনার সাথেও বিনিয়োগ করে ভালো লাগলো। তবে এখনো বিনিয়োগ এর লভ্যাংশ পাই নি। তবে কথা বলে ভালো লেগেছে এবং দ্রুত সমস্যা সমাধান এর চেষ্টা করে এবং বিনিয়োগকারীদের গুরুত্ব দিয়ে বিবেচনা করে। উনার জন্যও অনেক শুভকামনা রইলো। ,"মাশাআল্লাহ্, ভাল প্রতিষ্ঠান। ",এখনো পর্যন্ত খুব ভালো লেগেছে আমার উনাকে। খুবই প্রফেশনাল লেগেছে। কথা আর কাজে মিল আছে। আমি সন্তুষ্ট। এভাবে থাকলে বিনিয়োগকারীরা আরও আগ্রহ বোধ করবে উনার সাথে কাজ করার জন্য। ,,,,,,,,,,প্রফেশনাল না। কথা কাজের মিল নাই। ভবিষ্যতে বিনিয়োগ করার ইচ্ছা নাই।,,,"Invested 2 lac. As i communicated with him, i found him ahumble and gentle guy. Also maintain a good communication with investor",ভালো বিশ্বস্ত মানুষ। ,উনাকে যথেষ্ট প্রফেশনাল মনেহয়েছে।হিসাব গুলো সম্ভবত সফটওয়্যার নির্ভর এবং নিখুঁত মনে হয়েছে 
"Mawazin-এর উত্তরোত্তর সাফল্য কামনা করি। ইনশাআল্লাহ, মিজানুর  ভাইয়ের  পরিশ্রম ও সততার ফল আরও বড় অর্জন বয়ে আনবে। শুভকামনা রইল। ","Their behavior is very good, all commitment with investor still now ok. ",প্রফেশনাল।  টাকা ডিসবার্সমেন্ট টা আরো দ্রুত করা দরকার,"আলহামদুলিল্লাহ, ব্যবসায়িক অংশীদারিত্ব আমার জন্য সত্যিই কল্যাণকর হয়েছে। সততা, আন্তরিকতা এবং পেশাদারিত্ব আমার আস্থা আরও দৃঢ় করেছে।",,,,,,,,,,কর্তৃপক্ষ খুবই অপেশাদার।,,,,খুব ভালো,"হাইলি প্রফেশনাল, সবকিছু ঠিকঠাক কুইক সল্যুশন"
"প্রতিষ্ঠাতা ভদ্রলোকের সাথে আলাপ হয় নাই। তবে গ্রুপ থেকে recommended একজন মহিলার সাথে আলাপ হয়েছিল। খাদ্যপণ্যের ব্যবসায় হওয়ায় তাঁর কাছে বিএসটিআই, TIN, BIN, Incorporation Certificate, Form XII এসব আছে কিনা দেখতে চাইলাম (বিনিয়োগকৃত অন্যান্য প্রতিষ্ঠানেও আমি এগুলো চেয়েছি এবং যার যে কয়টা আছে সেটা পেয়েছি)। এক্ষেত্রে, তিনি বললেন কাপ্তাই লেক থেকে মাছ এনে ঢাকায় বিক্রয় করা হবে বিধায় এসব দেখার নাকি প্রয়োজন নেই আর দেখার প্রয়োজন পড়লে যেন মোহাইমিন পাটোয়ারী ভাইয়ের কাছ থেকে দেখে নেই। চুক্তিপত্রের কিছু সংশোধন প্রস্তাবেও (যা অন্যত্র গৃহীত হয়েছে) তিনি অনড় ছিলেন। তাই স্বচ্ছতা ও বিনিয়োগের নিরাপত্তার ব্যাপারে নিশ্চিত হতে না পারায় ইচ্ছা থাকলেও এখানে বিনিয়োগ করা হয়ে ওঠে নাই।",কথা বার্তা বলে ভালো লেগেছে। পরবর্তীতে ইচ্ছে আছে।,মাএ ১দিন হল বিনিয়োগ করছি এখনো ভাল মন্দ কিছু জানিনা ,,,,,,,,,,,গুড,,,,"The spokesperson seems responsible, honest and organized  so far. I would like to observe one year and provide further comment.",ফার্মা সেক্টর এর কম্পানি যার প্রয়োজনীয়তা সারা বছর সমান থাকে বিনিয়োগ পরিমান বেশি। আমি বিনিয়োগ এ আগ্রহী। 
"বিনিয়োগ করার পর এখনো বেশি সময় হয়নি, তাই বর্তমানে কোনো প্রফিট পাওয়া যায়নি। যেহেতু এটি একটি বড় প্রতিষ্ঠান এবং তাদের ব্যবসায়িক ভিশন অনেক বড়, তাই দীর্ঘমেয়াদে তাদের সম্ভাবনা নিয়ে আমি আশাবাদী। তবে ব্যবসার প্রতি আরও আস্থা ও স্বচ্ছতা তৈরি করার জন্য নিয়মিত অডিট, আধুনিক ব্যবস্থাপনা এবং ডিজিটালাইজেশনের দিকে আরও বেশি গুরুত্ব দেওয়া প্রয়োজন বলে মনে হচ্ছে।  কিছুটা অহংকারী লক্ষ্য করেছিবিনিয়োগ করার সময় অতিরিক্ত ৬০০ টাকা নেওয়া হবে—এই বিষয়টি আগে জানানো হয়নি। আমি এর আগে যেসব জায়গায় বিনিয়োগ করেছি, সেখানে মালিক পক্ষই সাধারণত কুরিয়ার ও ডকুমেন্ট সংক্রান্ত খরচ বহন করেছে। তাই এ ধরনের অতিরিক্ত খরচ সম্পর্কে বিনিয়োগের আগে পরিষ্কারভাবে জানানো হলে আরও ভালো হতো।",এই প্রতিষ্ঠান এ ও আমি জুলাই থেকে ইনভেস্ট করেছি।। আশ রাখি ভালো হবে ইনশাআল্লাহ।। ,"ভালো , তবে লেনদেন দেরি করে , ইনভেস্টরদের নিয়ে কোনো একটিভ ওয়াটস অ্যাপ গ্রুপ নাই, লেনদেন টাইমলি করা দরকার । ",,,,,,,,,,,,,,,Nice person. True to his word.,"মাশাআল্লাহ্, ভাল প্রতিষ্ঠান। "
গুড,গুড ,একটি ভালো brand value create  করেছে।,,,,,,,,,,,,,,,মাশাল্লাহ্ ,"আলহামদুলিল্লাহ ভালো,"
